1,'2022-03-01 11:28:14','2022-03-01 13:33:48',0,156,45
2,'2022-03-01 11:10:26','2022-03-01 13:55:58',0,29,12
3,'2022-03-01 11:20:26','2022-03-01 12:21:47',0,16,9
4,'2022-03-01 11:23:32','2022-03-01 13:38:32',0,518,14
5,'2022-03-01 11:53:20','2022-03-01 12:55:28',0,880,11
6,'2022-03-01 11:43:19','2022-03-01 13:13:33',0,110,17
7,'2022-03-01 11:49:43','2022-03-01 12:17:45',0,906,42
8,'2022-03-01 11:51:34','2022-03-01 12:23:39',0,760,54
9,'2022-03-01 11:48:33','2022-03-01 13:55:37',0,224,2
10,'2022-03-01 11:37:21','2022-03-01 12:12:36',0,512,16
11,'2022-03-01 11:18:56','2022-03-01 13:10:29',0,593,26
12,'2022-03-01 11:37:35','2022-03-01 12:47:11',0,26,23
13,'2022-03-01 11:52:48','2022-03-01 13:54:15',0,823,46
14,'2022-03-01 11:23:56','2022-03-01 12:41:12',0,752,51
15,'2022-03-01 11:52:16','2022-03-01 13:51:53',0,936,33
16,'2022-03-01 11:25:24','2022-03-01 13:44:48',0,838,57
17,'2022-03-01 11:41:51','2022-03-01 13:17:12',0,293,24
18,'2022-03-01 11:39:56','2022-03-01 13:28:39',0,759,39
19,'2022-03-01 11:59:36','2022-03-01 13:56:54',0,470,53
20,'2022-03-01 11:19:13','2022-03-01 13:40:42',0,897,22
21,'2022-03-01 11:38:27','2022-03-01 13:49:18',0,235,31
22,'2022-03-01 11:51:59','2022-03-01 12:43:32',0,310,40
23,'2022-03-01 11:59:33','2022-03-01 12:10:12',0,422,30
24,'2022-03-01 11:32:38','2022-03-01 12:22:11',0,489,60
25,'2022-03-01 11:16:40','2022-03-01 12:46:13',0,648,32
26,'2022-03-01 11:17:50','2022-03-01 12:25:37',0,793,13
27,'2022-03-01 11:22:18','2022-03-01 13:26:46',0,361,21
28,'2022-03-01 11:50:31','2022-03-01 13:43:48',0,236,59
29,'2022-03-01 11:32:58','2022-03-01 13:14:34',0,734,27
30,'2022-03-01 11:34:18','2022-03-01 12:41:32',0,197,10
31,'2022-03-01 11:19:29','2022-03-01 13:58:23',0,300,18
32,'2022-03-01 11:22:59','2022-03-01 12:46:56',0,896,56
33,'2022-03-01 11:18:17','2022-03-01 13:10:53',0,243,20
34,'2022-03-01 11:41:23','2022-03-01 13:35:50',0,900,43
35,'2022-03-01 11:31:16','2022-03-01 12:27:36',0,706,1
36,'2022-03-01 11:13:52','2022-03-01 12:17:44',0,956,15
37,'2022-03-01 11:17:28','2022-03-01 13:52:47',0,893,58
38,'2022-03-01 11:24:56','2022-03-01 13:54:14',0,155,41
39,'2022-03-01 11:50:31','2022-03-01 12:46:23',0,626,44
40,'2022-03-01 11:10:14','2022-03-01 12:52:21',0,774,6
41,'2022-03-01 11:37:27','2022-03-01 13:42:41',0,161,55
42,'2022-03-01 11:57:34','2022-03-01 12:10:53',0,444,48
43,'2022-03-01 11:17:24','2022-03-01 13:51:30',0,571,36
44,'2022-03-01 11:37:26','2022-03-01 13:39:35',0,165,4
45,'2022-03-01 11:13:54','2022-03-01 12:55:34',0,93,47
46,'2022-03-01 11:57:39','2022-03-01 13:37:12',0,640,49
47,'2022-03-01 11:39:28','2022-03-01 13:11:13',0,650,3
48,'2022-03-01 11:27:37','2022-03-01 12:34:13',0,177,34
49,'2022-03-01 11:54:36','2022-03-01 12:48:35',0,971,35
50,'2022-03-01 11:53:21','2022-03-01 13:47:33',0,459,5
51,'2022-03-01 11:54:45','2022-03-01 13:11:26',0,954,8
52,'2022-03-01 11:18:24','2022-03-01 13:16:47',0,699,50
53,'2022-03-01 11:59:21','2022-03-01 12:27:16',0,372,25
54,'2022-03-01 11:55:17','2022-03-01 13:46:39',0,191,37
55,'2022-03-01 11:11:58','2022-03-01 12:31:20',0,317,52
56,'2022-03-01 11:45:59','2022-03-01 13:24:52',0,932,28
57,'2022-03-01 11:50:57','2022-03-01 13:48:42',0,446,19
58,'2022-03-01 17:53:39','2022-03-01 19:13:46',0,207,12
59,'2022-03-01 17:17:35','2022-03-01 19:50:57',0,828,38
